key,Actividad Econ&oacutemica,E-mail,Fax,Fecha de Constitución,Fecha de listado en BMV,Historia de la Empresa,Oficinas Corporativas,Principales Productos y/o Servicios,Ramo,Relación con Inversionistas,Sector,Subramo,Subsector,Teléfono
AC,"ARCA CONTINENTAL ES UNA EMPRESA CONTROLADORA, CUYAS PRINCIPALES SUBSIDIARIAS SE DEDICAN A LA PRODUCCION Y COMERCIALIZACION DE BEBIDAS CARBONATADAS, NO CARBONATADAS Y BOTANAS.",felipe.barquin@arcacontal.com,,24-Sep-1980,13-Dec-2001,"Arca Continental se formó en el año 2011 mediante la integración de Embotelladoras Arca y Grupo Continental para constituirse como una de las empresas de bebidas y otros productos de impulso líderes en Latinoamérica, así como una de las más importantes del Sistema de Embotelladores de Coca-Cola en el mundo. Arca Continental es una empresa dedicada a la producción, distribución y venta de bebidas no alcohólicas de las marcas propiedad de The Coca-Cola Company, así como de botanas saladas bajo las marcas Bokados en México, Inalecsa en Ecuador y Wise en los Estados Unidos. Con una destacada trayectoria de más de 90 años, Arca Continental es la segunda embotelladora de Coca-Cola más grande de América Latina y una de las más importantes del mundo. En su franquicia de Coca-Cola, la empresa atiende a una población de más de 83 millones en la región norte y occidente de México, así como en Ecuador, Perú y en la región norte de Argentina. Arca Continental cotiza en la Bolsa Mexicana de Valores bajo el símbolo ""AC"". Para mayor información sobre Arca Continental, favor de visitar http://www.arcacontal.com","Av. San Jeronimo 813 Pte. San Jeronimo ,64640, Monterrey NL","Coca-Cola, Coca-Cola Light, Fanta, Sprite, Lift, Joya, Ciel, Jugos del Valle, Topo Chico, Powerade, Bokados.",BEBIDAS,LIC. FELIPE BARQUIN (),PRODUCTOS DE CONSUMO FRECUENTE,PRODUCCIÓN DE BEBIDAS NO ALCOHÓLICAS,"ALIMENTOS, BEBIDAS Y TABACO",8181511400
ACCELSA,"TENEDORA DE EMPRESAS DEDICADAS A SERVICIOS DE MANUFACTURA, ALMACENAJE, LOGÍSTICA, DISTRIBUCIÓN DE MERCANCÍAS Y ACTIVIDADES INMOBILIARIAS.",m.altamirano@accel.com.mx,6144260056,09-Jan-1979,21-Oct-1988,"Accel, S.A. de C.V. surge de la escisión de Grupo Chihuahua en 1991, es un grupo de empresas dedicadas principalmente a prestar servicios de almacenaje, logística, distribución, manufactura de dulces y servicios inmobiliarios. Está formada principalmente por dos Divisiones: (i) División Logística: Esta División ofrece soluciones en el manejo de mercancías en bodegas tanto secas como refrigeradas, prestando servicios de administración de inventarios, consolidación y desconsolidación de carga, cruce de andén, selección y empaque, distribución y servicios a la comercialización. Cuenta con aproximadamente 180,000 m2, dedicados al almacenaje y distribución, de los cuales aproximadamente 25,000 m2 son de congelación y refrigeración, teniendo presencia a nivel nacional. Está formada principalmente por Almacenadora Accel, S.A. (""Almaccel""), Accel Distribución, S.A. de C.V. (""ADI""), Accel Comercial, S.A. de C.V. (""ACO"") y Corporativo de Negocios de Comercio Exterior, S.A. de C.V. (""Corporativo""), las cuales han sido creadas para brindar flexibilidad a cada uno de los servicios integrales de logística que proporcionamos. (ii) División Manufactura: Esta integrada por Elamex, S.A. de C.V. (""Elamex""), empresa con operaciones de manufactura y actividades inmobiliarias en México y los Estados Unidos. A través de los servicios de manufactura, participa en procesos de producción, empaque, distribución y venta de dulces y frutos secos. La manufactura de dulces es realizada en instalaciones de clase mundial, cuenta con una planta de aproximadamente 16,722 m2 localizada en Cd. Juárez, Chih., México. La preparación, empaque, distribución y venta de frutos secos, (cacahuates, almendras, nueces, pistaches, etc.) se realiza en instalaciones propias con una superficie aproximada de 17,187 m2 localizadas en El Paso, Texas. Esta empresa, también proporciona servicios de logística a terceros utilizando para ello, parte de sus 22,203 m2 de almacenes localizados en El Paso, Texas. Finalmente, Franklin a través de su División Sunrise Confections, ofrece contratos de manufactura y servicios shelter a empresas de dulces localizadas en los Estados Unidos. La evolución de la empresa ha sido de la siguiente manera: 1979 Se consitituye Grupo Chihuahua, S.A. de C.V. 1989 Grupo Chihuahua adquiere Tropical Sporstwear 1990 Grupo Chihuahua adquiere Elamex, quedando así integrado por Almaccel, Elamex, Tropical, Ponderosa Industrial y otras inversiones que después fueron desincorporadas. 1992 Se reestructura Grupo Chihuahua y se escinde Ponderosa Industrial, una vez realizada esta escisión, se cambia la denominación de Grupo Chihuahua por el de Accel. 1997 Accel adquiere la totalidad del negocio y algunos de los activos de Almacenadora Bancomer. 2002 Elamex adquiere el 100% de las acciones de Franklin Connections. Se concreta la participación de Accel con un grupo de agentes aduanales a fin de operar un Recinto Fiscalizado y un Punto de Verificación para productos cárnicos. 2004 Se inauguran las instalaciones del Recinto Fiscalizado. 2005 Elamex solicita ser deslistada del mercado Nasdaq, dejando de cotizar a partir del 30 de enero de 2006 manteniendo sus acciones bajo el concepto ""pink sheets"".","Circuito No. 5 del Parque Industrial Las Americas Panamericana ,31220, Chihuahua CHIH","MANUFACTURA EMPAQUE, DISTRIBUCIÓN Y VENTA DE DULCES Y FRUTOS SECOS, ALMACENAJE, LOGÍSTICA Y ACTIVIDADES INMOBILIARIAS",SUMINISTROS Y SERVICIOS COMERCIALES,C.P. MIGUEL ALTAMIRANO (CONTRALOR CORPORATIVO),INDUSTRIAL,SERVICIOS COMERCIALES DIVERSIFICADOS Y PROFESIONALES,SUMINISTROS Y SERVICIOS COMERCIALES,6144260024
ACTINVR,TENENDORA DE ACCIONES Y EMPRESAS SUBSIDIARIAS,actinverir@actinver.com.mx,11036699,27-Jul-2004,11-Oct-2007,"Corporación Actinver, SAB de CV es una sociedad de nacionalidad mexicana, constituida en julio de 2004, como resultado de la escisión de Actinver-Lloyd, una sociedad operadora de sociedades de inversión que inició operaciones en septiembre de 1994. Corporación Actinver es una sociedad tenedora de acciones y ofrece sus servicios y productos a través de sus principales Subsidiarias, directas o indirectas: i) Grupo Financiero Actinver; ii)Banco Actinver; iii)Actinver-Lloyd, iv) Actinver Financial; y v) Actinver Casa de Bolsa. Las principales actividades de las Subsidiarias de Corporación Actinver se concentran en la administración de activos, intermediación bursátil y banca comercial y privada. La Compañía es una de las empresas líderes en asesoría de inversiones en México, y una de las empresas con mayor crecimiento en su ramo a nivel nacional. En mayo de 2010 sus acciones fueron listadas en la Bolsa Mexicana de Valores.","GUILLERMO GONZALEZ CAMARENA 1200 PISOS 5, 9 Y 10 CENTRO CUIDAD SANTA FE ,01210, Ciudad de México CDMX",,MERCADOS FINANCIEROS,PhD ENRIQUE COVARRUBIAS (RESPONSABLE DE RELACIÓN CON INVERSIONISTAS),SERVICIOS FINANCIEROS,CONTROLADORAS DE ENTIDADES DE SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,11036600
AEROMEX,SOCIEDAD CONTROLADORA A TRAVES DE SUS SUBSIDIARIAS REALIZA ACTIVIDADES DE TRANSPORTE AEREO,jwallden@aeromexico.com.mx,,19-Mar-2002,14-Apr-2011,"Grupo Aeroméxico, S.A.B. de C.V., es una sociedad anónima bursátil de capital variable con domicilio social en México, Distrito Federal, constituida originalmente como Grupo Aeroméxico, S.A. de C.V., mediante escritura pública número 47,754, de fecha 19 de marzo de 2002, otorgada ante la fe del Lic. Roberto Núñez y Bandera, Notario Público No. 1 del Distrito Federal, cuyo primer testimonio quedó inscrito en el Registro Público de Comercio del Distrito Federal bajo el folio mercantil número 286,676.","Av. Paseo de la Reforma 243 piso 25 Cuauhtemoc ,06500, Mexico CDMX",,LÍNEAS AÉREAS,DON JONATHAN MARK WALLDEN (DIRECTOR DE PLANEACION),INDUSTRIAL,LÍNEAS AÉREAS,TRANSPORTES,91324000
AGRIEXP,"COMPRA, PROCESAMIENTO Y COMERCIALIZACION DE FRUTAS Y VERDURAS PROCESADAS.",agriexport@megared.net.mx,013312001721,31-Jul-1973,20-Dec-1996,"EMPRESA FUNDADA EN 1973 CON EL OBJETO DE EXPORTAR FRESA CONGELADA. EN 1993 SE ASOCIA CON CONGELADORA ZAMORA, S.A.Y POSTERIORMENTE ADQUIERE UNA PLANTA PROPIA. ACTUALMENTE PROCESA Y EXPORTA FRUTAS Y VERDURAS CONGELADAS COMO CALABAZA JAPONESA, MANGO, FRESA, ZARZAMORA, PAPAYA, VEGETALES Y COMIDA MEXICANA.","FRENTE A LA ESTACION DEL FERROCARRIL SIN NUMERO SIN COLONIA ,45640, TLAJOMULCO DE ZUÑIGA JAL","FRESAS CONGELADAS, CITRICOS ENLATADOS, PEPINILLOS FRESCOS",ALIMENTOS,L.C.P RICARDO ALCALA (GERENTE GENERAL),PRODUCTOS DE CONSUMO FRECUENTE,PRODUCCIÓN Y COMERCIALIZACIÓN DE ALIMENTOS,"ALIMENTOS, BEBIDAS Y TABACO",013312001721
AGUA,SOLUCIONES DEL AGUA,mromero@rotoplas.com,25015050,17-Mar-2004,10-Dec-2014,"Grupo Rotoplas S.A.B. de C.V. es la empresa líder en América de soluciones individuales e integrales para el almacenamiento, conducción, mejoramiento, tratamiento y reciclaje de agua. Con 40 años de experiencia en la industria y 19 plantas en el continente americano, Rotoplas tiene presencia en 14 países y un portafolio con 27 líneas de productos. A partir de diciembre de 2014, Grupo Rotoplas cotiza en la Bolsa Mexicana de Valores (BMV) bajo la clave de pizarra AGUA*.","CALLE PEDREGAL 24, PISO 19 MOLINO DEL REY ,11040, MEXICO, DISTRITO FEDERAL CDMX",PRODUCTOS RELACIONADOS CON EL AGUA,COMERCIALIZACIÓN Y DISTRIBUCIÓN,LICENCIADO MARIO ANTONIO ROMERO (RELACIÓN CON INVERSIONISTAS),INDUSTRIAL,COMERCIALIZACIÓN Y DISTRIBUCIÓN,BIENES DE EQUIPO,52015000
AHMSA,"EMPRESA FABRICANTE DE ACERO Y MANUFACTURERA DE PRODUCTOS RELAMINABLES, PLANOS, NO PLANOS Y TUBERIA CON COSTURA, ASI COMO SUBPRODUCTOS DERIVADOS DEL GAS DE COQUE.",lgvaldes@gan.com.mx,018666492018,06-Jul-1942,08-Oct-1951,"AHMSA FUÉ FUNDADA EN 1942 Y COMENZÓ OPERACIONES EN 1944. A MEDIADO DE LA DÉCADA DE LOS 70 DEL SIGLO XX SE CONSTRUYÓ UNA NUEVA PLANTA SIDERÚRGICA. EN DICIEMBRE DE 1991, LA EMPRESA ES PRIVATIZADA Y GRUPO ACERERO DEL NORTE, S.A. DE C.V. (GAN) TOMA EL CONTROL DE LA EMPRESA. EN DICIEMBRE DE 1995, GAN INCORPORÓ A AHMSA LAS MINAS DE MINERAL DE FIERRO Y DE CARBÓN CON EL PROPOSITO DE CONVERTIR A AHMSA UN PRODUCTOR DE ACERO EN MÉXICO CON UNA CAPACIDAD NOMINAL DE 3.8 MILLONES DE TONELADAS DE ACERO LIQUIDO POR AÑO. A PARTIR DE 2007 DESARROLLA EL PROYECTO FÉNIX, EL MÁS AMBICIOSO PROGRAMA DE INVERSIÓN DE SU HISTORIA Y DESTINADO A ELEVAR EN AL MENOS 40% SU CAPACIDAD INSTALADA, PARA SUPERAR 5 MILLONES DE TONELADAS ANUALES DE ACERO LÍQUIDO CON LA INCORPORACIÓN DE LA TECNOLOGÍA DE HORNO DE ARCO ELÉCTRICO. CON LOS NUEVOS EQUIPOS, AHMSA AMPLÍA SU GAMA DE ACEROS Y MAYORES ESPECIFICACIONES, A FIN DE INGRESAR A NUEVOS NICHOS DE MERCADO.","PROLONGACION JUAREZ SN LA LOMA ,25770, MONCLOVA COAH","PLACA, LAMINA ROLADA EN CALIENTE, LAMINA, LAMINA ROLADA EN FRIO, LAMINA CROMADA, HOJALTA, PERFILES LIGEROS, PERFILES PESADOS, ALAMBRON, BILETE, ETC.",FABRICACIÓN Y COMERCIALIZACIÓN DE MATERIALES,LIC LUIS GUILLERMO VALDES (SUBDIRECTOR DE PLANEACION ESTR),MATERIALES,PRODUCCIÓN Y FABRICACIÓN DE PRODUCTOS DE ACERO,MATERIALES,018666493330
ALEATIC,"DISEÑAR, EXPLOTAR Y CONSTRUIR PROYECTOS CARRETEROS",inversionistas.mx@aleatica.com,50039500,10-Mar-2005,11-Nov-2010,"Aleatica, S.A.B. de C.V. se ha posicionado como una operadora de infraestructura de transporte relevante en la industria dentro del área metropolitana de la Ciudad de México, tanto por el número de concesiones asignadas como por los kilómetros de autopistas administradas. Actualmente Aleatica, S.A.B. de C.V. construye, administra, opera y mantiene 7 autopistas de peaje y un aeropuerto. Las autopistas e infraestructuras relacionadas se localizan en las zonas urbanas con alto tráfico de vehículos en la Ciudad de México, el Estado de México y el Estado de Puebla. En el sector aeroportuario, Aleatica participa en la gestión integral del segundo mayor aeropuerto que da servicio al área metropolitana de la Ciudad de México. Para más información, visite nuestra página web www.aleatica.com.","PASEO DE LA REFORMA 222 PISO 25 JUÁREZ ,06600, MÉXICO CDMX",,CONSTRUCCIÓN E INGENIERÍA,LIC. GABRIEL NÚÑEZ (DIR. ECONÓMICO FINANCIERO),INDUSTRIAL,CONCESIONARIAS DE INFRAESTRUCTURA,CONSTRUCCIÓN,50039552
ALFA,CONTROLADORA DE EMPRESAS INDUSTRIALES EN AREAS DIVERSIFICADAS.,HLOZANO@ALFA.COM.MX,8187482507,09-Jun-1974,15-Aug-1978,"ALFA es una empresa que administra un portafolio de negocios diversificado: Alpek, uno de los más grandes productores a nivel mundial de poliéster (PTA, PET y fibras) y líder en el mercado mexicano de polipropileno, poliestireno expandible y caprolactama. Sigma, compañía multinacional líder en la industria de alimentos, enfocada en la producción, comercialización y distribución de productos de calidad, a través de reconocidas marcas en México, Europa, EE.UU. y Latinoamérica. Nemak, proveedor líder de soluciones innovadoras de aligeramiento para la industria automotriz global, especializado en el desarrollo y manufactura de componentes de aluminio para tren motriz, componentes estructurales y para vehículos eléctricos. Axtel, compañía de Tecnologías de Información (TI) y Comunicación que sirve a los mercados empresarial y gubernamental en México. Newpek, empresa que realiza operaciones en la industria de hidrocarburos en EE.UU. y México. En 2018, ALFA generó ingresos por $366,432 millones de Pesos (US $19,055 millones) y Flujo de Operación de $55,178 millones de Pesos (US $2,858 millones). Las acciones de ALFA cotizan en la Bolsa Mexicana de Valores y en Latibex, en la Bolsa de Madrid.","Av. GOMEZ MORIN 1111 SUR CARRIZALEJO ,66254, SAN PEDRO GARZA GARCIA NL","PETROQUIMICOS, PLASTICOS, FIBRAS, ALIMENTOS REFRIGERADOS Y AUTOPARTES DE ALUMINIO",CONTROLADORAS,@ HERNAN FEDERICO LOZANO (DIRECTOR DE REL INVERSIONISTAS),INDUSTRIAL,CONTROLADORAS,BIENES DE EQUIPO,8187481111
ALPEK,"CONTROLADORA DE EMPRESAS DEDICADAS A LAS INDUSTRIAS PETROQUIMICAS, PLASTICAS Y FIBRAS SINTETICAS.",hlozano@alpek.com,(81)87482525,18-Apr-2011,26-Apr-2012,"Inicio en 1994 con cinco empresas: Nylon de México (fibras sintéticas de nylon), Fibras químicas (fibras sintéticas de poliéster), Polioles (Plásticos y químicos), Petrocel y Tereftalatos mexicanos (materias primas para poliéster). Actualmente Alpek opera en dos segmentos de negocios: ""Poliéster"" (PTA, PET y fibras poliéster) y ""Plásticos y Químicos"" (polipropileno, poliestireno expandible, caprolactama, especialidades químicas y químicos industriales). Alpek es un productor líder de PTA y PET a nivel mundial, es el principal productor de poliestireno expandible en América y el único productor de caprolactama en México. Además, opera una de las plantas más grandes de polipropileno en Norteamérica. En 2015, Alpek registró ingresos por U.S. $5,284 millones y un Flujo de Operación (EBITDA) de U.S. $630 millones. La empresa opera 21 plantas en los Estados Unidos, México, Brasil, Argentina y Chile, y emplea a más de 5,000 personas aproximadamente.","AVE. GOMEZ MORIN NO. 1111 Sur CARRIZALEJO ,66254, GARZA GARCIA NL","ÁCIDO TEREFTÁLICO (PTA), TEREFTALATO DE POLIETILENO (PET), FIBRAS DE POLIÉSTER, POLIPROPILENO, POLIESTIRENO EXPANDIBLE, CAPROLACTAMA, GLICOLES, ESPECIALIDADES QUÍMICAS Y QUÍMICOS INDUSTRIALES.",PRODUCTOS QUÍMICOS,Ing. Hernán F. Lozano (Director Relación con Inversionistas),MATERIALES,DISTRIBUCIÓN DE PRODUCTOS QUÍMICOS ESPECIALIZADOS DE CONSUMO,MATERIALES,(81)87481111
